id;nombre;tipo;coste_mana;texto
1;online;payment;89331;deposit evolve GB
2;Camino;Berkshire bypassing;61761;Kuna efficient Práctico
3;Rústico Dinánmico Hormigon;Madrid Fantástico;70122;metódica Teclado
4;ADP Bacon;Granito integrate Metal;81750;application networks
5;Granito Humano;Account interactive;19211;online Técnico
6;CSS Guapa Ladrillo;Factores multitarea Money;11086;cross-platform
7;Marketing Account;Sorprendente monitor;29465;matrix
8;Senior;División;92554;Som Vasco
9;Savings redundant;Regional;34205;Extrarradio Bedfordshire
10;Paradigma scale Home;Violeta Pequeño;49665;intranet
